gene_id	description
LOC102656410	uncharacterized LOC102656410
LOC102656412	uncharacterized LOC102656412
LOC102656416	uncharacterized LOC102656416
LOC102656417	uncharacterized LOC102656417
LOC102656419	UDP-glucuronosyltransferase 2C1-like
LOC102656421	uncharacterized LOC102656421
LOC102656423	glutathione S-transferase D1-like
LOC102656424	uncharacterized LOC102656424
LOC102656425	"CDGSH iron-sulfur domain-containing protein 3, mitochondrial"
LOC102656426	uncharacterized LOC102656426
LOC102656428	uncharacterized LOC102656428
LOC102656429	odorant receptor 30a-like
LOC102656430	uncharacterized LOC102656430
LOC102656431	uncharacterized LOC102656431
LOC102656432	connector enhancer of kinase suppressor of ras 3-like
LOC102656433	uncharacterized LOC102656433
LOC102656434	uncharacterized LOC102656434
LOC102656439	adenosine deaminase CECR1-like
LOC102656440	uncharacterized LOC102656440
LOC102656442	probable splicing factor 3B subunit 5
LOC102656444	protein dopey homolog PFC0245c-like
LOC102656447	uncharacterized LOC102656447
LOC102656448	"glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like"
LOC102656449	uncharacterized LOC102656449
LOC102656451	uncharacterized LOC102656451
LOC102656452	uncharacterized LOC102656452
LOC102656453	uncharacterized LOC102656453
LOC102656459	uncharacterized LOC102656459
LOC102656460	proton glutamate symport protein-like
LOC102656461	uncharacterized LOC102656461
LOC102656463	uncharacterized LOC102656463
LOC102656464	uncharacterized LOC102656464
LOC102656465	guanine nucleotide-binding protein G(o) subunit alpha-like
LOC102656466	uncharacterized LOC102656466
LOC102656472	uncharacterized LOC102656472
LOC102656473	CB1 cannabinoid receptor-interacting protein 1-like
LOC102656475	uncharacterized LOC102656475
LOC102656479	uncharacterized LOC102656479
LOC102656480	proline iminopeptidase-like
LOC102656483	uncharacterized LOC102656483
LOC102656485	oxidoreductase-like domain-containing protein 1
LOC102656486	uncharacterized LOC102656486
LOC102656487	uncharacterized LOC102656487
LOC102656488	uncharacterized LOC102656488
LOC102656489	uncharacterized LOC102656489
LOC102656490	uncharacterized LOC102656490
LOC102656491	signal peptidase complex subunit 1
LOC102656492	uncharacterized LOC102656492
LOC102656493	uncharacterized LOC102656493
LOC102656494	uncharacterized LOC102656494
LOC102656496	uncharacterized LOC102656496
LOC102656497	uncharacterized LOC102656497
LOC102656498	uncharacterized LOC102656498
LOC102656499	uncharacterized LOC102656499
LOC102656500	uncharacterized LOC102656500
LOC102656501	zinc finger protein 2-like
LOC102656502	uncharacterized LOC102656502
LOC102656503	xanthine permease-like
LOC102656504	ethanolamine kinase 1
LOC102656505	uncharacterized LOC102656505
LOC102656508	uncharacterized LOC102656508
LOC102656509	uncharacterized LOC102656509
LOC102656511	uncharacterized LOC102656511
LOC102656513	uncharacterized LOC102656513
LOC102656514	uncharacterized LOC102656514
LOC102656515	metabotropic glutamate receptor 4-like
LOC102656517	phosphopantothenoylcysteine decarboxylase subunit VHS3-like
LOC102656519	uncharacterized LOC102656519
LOC102656523	uncharacterized LOC102656523
LOC102656525	non-canonical purine NTP pyrophosphatase-like
LOC102656527	uncharacterized LOC102656527
LOC102656529	uncharacterized LOC102656529
LOC102656530	uncharacterized LOC102656530
LOC102656532	uncharacterized LOC102656532
LOC102656533	uncharacterized LOC102656533
LOC102656534	uncharacterized LOC102656534
LOC102656535	uncharacterized LOC102656535
LOC102656537	uncharacterized LOC102656537
LOC102656539	uncharacterized LOC102656539
LOC102656541	uncharacterized LOC102656541
LOC102656543	decaprenyl-diphosphate synthase subunit 1-like
LOC102656544	adenylate cyclase type 2-like
LOC102656545	uncharacterized protein CG3556-like
LOC102656548	nucleoside diphosphate kinase homolog 5-like
LOC102656549	uncharacterized LOC102656549
LOC102656552	hypertrehalosaemic prohormone-like
LOC102656553	uncharacterized LOC102656553
LOC102656554	NADH-ubiquinone oxidoreductase chain 5-like
LOC102656555	uncharacterized LOC102656555
LOC102656556	uncharacterized LOC102656556
LOC102656557	uncharacterized LOC102656557
LOC102656558	uncharacterized LOC102656558
LOC102656559	uncharacterized LOC102656559
LOC102656560	sperm-tail PG-rich repeat-containing protein 2-like
LOC102656561	uncharacterized LOC102656561
LOC102656562	uncharacterized LOC102656562
LOC102656563	uncharacterized LOC102656563
LOC102656564	uncharacterized LOC102656564
LOC102656566	uncharacterized LOC102656566
LOC102656567	uncharacterized LOC102656567
LOC102656568	uncharacterized LOC102656568
LOC102656570	"glucose dehydrogenase [FAD, quinone]"
LOC102656571	uncharacterized LOC102656571
LOC102656572	uncharacterized LOC102656572
LOC102656573	uncharacterized LOC102656573
LOC102656574	uncharacterized LOC102656574
LOC102656575	uncharacterized LOC102656575
LOC102656577	uncharacterized LOC102656577
LOC102656578	carbonic anhydrase-like
LOC102656579	UPF0488 protein CG14286
LOC102656582	uncharacterized LOC102656582
LOC102656583	uncharacterized LOC102656583
LOC102656584	uncharacterized LOC102656584
LOC102656585	CD151 antigen-like
LOC102656586	uncharacterized LOC102656586
LOC102656587	ras-related protein Ral-a
LOC102656588	bicyclomycin resistance protein homolog
LOC102656589	uncharacterized LOC102656589
LOC102656592	uncharacterized LOC102656592
LOC102656593	uncharacterized LOC102656593
LOC102656594	uncharacterized LOC102656594
LOC102656595	uncharacterized LOC102656595
LOC102656598	uncharacterized LOC102656598
LOC102656599	"HIG1 domain family member 1A, mitochondrial-like"
LOC102656600	uncharacterized LOC102656600
LOC102656601	uncharacterized LOC102656601
LOC102656603	uncharacterized LOC102656603
LOC102656605	uncharacterized LOC102656605
LOC102656608	uncharacterized LOC102656608
LOC102656610	uncharacterized LOC102656610
LOC102656611	glycine-rich cell wall structural protein-like
LOC102656613	uncharacterized LOC102656613
LOC102656614	uncharacterized LOC102656614
LOC102656615	odorant receptor Or2-like
LOC102656618	uncharacterized LOC102656618
LOC102656619	uncharacterized LOC102656619
LOC102656620	uncharacterized LOC102656620
LOC102656621	uncharacterized LOC102656621
LOC102656624	aldehyde-alcohol dehydrogenase 2-like
LOC102656625	uncharacterized LOC102656625
LOC102656627	uncharacterized LOC102656627
LOC102656628	uncharacterized LOC102656628
LOC102656629	uncharacterized LOC102656629
LOC102656630	uncharacterized LOC102656630
LOC102656631	uncharacterized LOC102656631
LOC102656634	uncharacterized LOC102656634
LOC102656635	uncharacterized LOC102656635
LOC102656636	uncharacterized LOC102656636
LOC102656637	potassium channel GORK-like
LOC102656639	midasin-like
LOC102656640	uncharacterized LOC102656640
LOC102656641	uncharacterized LOC102656641
LOC102656643	uncharacterized LOC102656643
LOC102656644	uncharacterized LOC102656644
LOC102656645	uncharacterized LOC102656645
LOC102656647	uncharacterized LOC102656647
LOC102656648	uncharacterized LOC102656648
LOC102656650	uncharacterized LOC102656650
LOC102656652	vesicle-associated membrane protein 4-like
LOC102656653	uncharacterized LOC102656653
LOC102656654	"dTDP-4-dehydrorhamnose 3,5-epimerase-like"
LOC102656655	protein outspread-like
LOC102656656	uncharacterized LOC102656656
LOC102656657	nucleolar protein of 40 kDa-like
LOC102656658	uncharacterized LOC102656658
LOC102656661	uncharacterized LOC102656661
LOC102656663	enteropeptidase-like
LOC102656664	uncharacterized LOC102656664
LOC102656667	uncharacterized LOC102656667
LOC102656668	uncharacterized LOC102656668
LOC102656669	ctenidin-1-like
LOC102656671	uncharacterized LOC102656671
LOC102656672	uncharacterized LOC102656672
LOC102656676	uncharacterized LOC102656676
LOC102656679	putative uncharacterized protein FLJ37770
LOC102656680	probable phosphoketolase 1
LOC102656681	farnesol dehydrogenase-like
LOC102656682	uncharacterized LOC102656682
LOC102656683	uncharacterized LOC102656683
LOC102656685	"39S ribosomal protein L42, mitochondrial"
LOC102656687	lipid A export ATP-binding/permease protein MsbA-like
LOC102656690	uncharacterized LOC102656690
LOC102656694	uncharacterized LOC102656694
LOC102656697	uncharacterized LOC102656697
LOC102656698	uncharacterized LOC102656698
LOC102656699	uncharacterized LOC102656699
LOC102656700	putative inner membrane metabolite transport protein YdfJ
LOC102656701	odorant receptor 94a-like
LOC102656705	uncharacterized LOC102656705
LOC102656706	uncharacterized LOC102656706
LOC102656707	uncharacterized LOC102656707
LOC102656708	odorant receptor 67c-like
LOC102656709	uncharacterized LOC102656709
LOC102656710	uncharacterized LOC102656710
LOC102656712	uncharacterized LOC102656712
LOC102656714	chitotriosidase-1-like
LOC102656715	HTH-type transcriptional regulator FrlR-like
LOC102656717	uncharacterized LOC102656717
LOC102656718	uncharacterized LOC102656718
LOC102656719	uncharacterized LOC102656719
LOC102656720	uncharacterized LOC102656720
LOC102656722	uncharacterized LOC102656722
LOC102656723	uncharacterized LOC102656723
LOC102656724	uncharacterized LOC102656724
LOC102656725	uncharacterized LOC102656725
LOC102656727	uncharacterized LOC102656727
LOC102656729	uncharacterized LOC102656729
LOC102656730	uncharacterized LOC102656730
LOC102656731	uncharacterized LOC102656731
LOC102656732	uncharacterized LOC102656732
LOC102656733	uncharacterized LOC102656733
LOC102656734	cystathionine beta-lyase PatB-like
LOC102656737	uncharacterized LOC102656737
LOC102656738	uncharacterized LOC102656738
LOC102656740	uncharacterized LOC102656740
LOC102656744	uncharacterized LOC102656744
LOC102656745	uncharacterized LOC102656745
LOC102656747	uncharacterized LOC102656747
LOC102656748	uncharacterized LOC102656748
LOC102656752	uncharacterized LOC102656752
LOC102656753	uncharacterized LOC102656753
LOC102656754	anthranilate synthase component 2-like
LOC102656757	homeobox protein Hox-B4-like
LOC102656758	uncharacterized LOC102656758
LOC102656759	uncharacterized LOC102656759
LOC102656761	uncharacterized LOC102656761
LOC102656762	uncharacterized LOC102656762
LOC102656765	uncharacterized LOC102656765
LOC102656766	ETS-like protein pointed
LOC102656770	uncharacterized LOC102656770
LOC102656771	uncharacterized NAD(P)H oxidoreductase YrkL-like
LOC102656772	uncharacterized LOC102656772
LOC102656773	uncharacterized LOC102656773
LOC102656774	uncharacterized LOC102656774
LOC102656775	uncharacterized LOC102656775
LOC102656777	uncharacterized LOC102656777
LOC102656778	uncharacterized LOC102656778
LOC102656779	uncharacterized LOC102656779
LOC102656780	uncharacterized LOC102656780
LOC102656781	uncharacterized MFS-type transporter YdeR-like
LOC102656784	uncharacterized LOC102656784
LOC102656786	uncharacterized LOC102656786
LOC102656787	uncharacterized LOC102656787
LOC102656788	uncharacterized LOC102656788
LOC102656790	protein PXR1-like
LOC102656792	ras-related protein Rab-34-like
LOC102656794	clpA homolog protein-like
LOC102656796	uncharacterized LOC102656796
LOC102656798	uncharacterized LOC102656798
LOC102656799	uncharacterized LOC102656799
LOC102656801	uncharacterized LOC102656801
LOC102656802	uncharacterized LOC102656802
LOC102656804	uncharacterized LOC102656804
LOC102656805	uncharacterized LOC102656805
LOC102656808	uncharacterized LOC102656808
LOC102656809	uncharacterized LOC102656809
LOC102656810	uncharacterized LOC102656810
LOC102656812	polyprenol reductase
LOC102656814	uncharacterized LOC102656814
LOC102656816	uncharacterized LOC102656816
LOC102656818	uncharacterized LOC102656818
LOC102656819	uncharacterized LOC102656819
LOC102656820	uncharacterized LOC102656820
LOC102656821	uncharacterized LOC102656821
LOC102656822	uncharacterized LOC102656822
LOC102656823	uncharacterized LOC102656823
LOC102656824	histidine-rich glycoprotein-like
LOC102656827	uncharacterized LOC102656827
LOC102656828	uncharacterized LOC102656828
LOC102656830	uncharacterized LOC102656830
LOC102656835	uncharacterized LOC102656835
LOC102656837	fumarate reductase flavoprotein subunit-like
LOC102656838	odorant receptor Or2-like
LOC102656840	putative uncharacterized protein DDB_G0277255
LOC102656841	WD repeat-containing protein WRAP73-like
LOC102656842	uncharacterized LOC102656842
LOC102656843	uncharacterized LOC102656843
LOC102656846	cyclin-A2
LOC102656847	uncharacterized LOC102656847
LOC102656849	uncharacterized LOC102656849
LOC102656852	uncharacterized LOC102656852
LOC102656853	uncharacterized LOC102656853
LOC102656854	uncharacterized LOC102656854
LOC102656855	uncharacterized LOC102656855
LOC102656856	uncharacterized LOC102656856
LOC102656859	uncharacterized LOC102656859
LOC102656860	uncharacterized LOC102656860
LOC102656862	uncharacterized LOC102656862
LOC102656864	uncharacterized LOC102656864
LOC102656867	ATP-dependent RNA helicase RhlE-like
LOC102656871	uncharacterized LOC102656871
LOC102656875	uncharacterized LOC102656875
LOC102656876	uncharacterized LOC102656876
LOC102656877	uncharacterized LOC102656877
LOC102656878	uncharacterized protein YfeH-like
LOC102656882	cytochrome P450 9e2-like
LOC102656885	uncharacterized LOC102656885
LOC102656888	uncharacterized LOC102656888
LOC102656889	uncharacterized LOC102656889
LOC102656890	uncharacterized LOC102656890
LOC102656891	uncharacterized LOC102656891
LOC102656892	uncharacterized LOC102656892
LOC102656893	solute carrier family 25 member 51
LOC102656895	uncharacterized LOC102656895
LOC102656896	uncharacterized LOC102656896
LOC102656898	uncharacterized LOC102656898
LOC102656900	zinc finger protein Gfi-1b
LOC102656901	uncharacterized LOC102656901
LOC102656903	uncharacterized LOC102656903
LOC102656904	uncharacterized LOC102656904
LOC102656905	nuclear receptor-binding factor 2-like
LOC102656907	odorant receptor 4-like
LOC102656908	uncharacterized LOC102656908
LOC102656909	uncharacterized LOC102656909
LOC102656910	uncharacterized LOC102656910
LOC102656911	uncharacterized LOC102656911
LOC102656914	acyl-CoA-binding domain-containing protein 6-like
LOC102656916	splicing factor U2af large subunit B
LOC102656917	uncharacterized LOC102656917
LOC102656919	uncharacterized LOC102656919
LOC102656923	uncharacterized LOC102656923
LOC102656924	uncharacterized LOC102656924
LOC102656927	uncharacterized LOC102656927
LOC102656931	uncharacterized LOC102656931
LOC102656932	uncharacterized LOC102656932
LOC102656933	uncharacterized LOC102656933
LOC102656934	stress-induced-phosphoprotein 1
LOC102656935	uncharacterized LOC102656935
LOC102656936	uncharacterized LOC102656936
LOC102656939	histone-lysine N-methyltransferase SETMAR-like
LOC107963958	E3 ubiquitin-protein ligase MIB1-like
LOC107963959	uncharacterized LOC107963959
LOC107963960	transcription elongation factor S-II
LOC107963961	condensin complex subunit 2-like
LOC107963962	ribosome biogenesis protein NSA2 homolog
LOC107963963	uncharacterized LOC107963963
LOC107963964	uncharacterized LOC107963964
LOC107963965	zinc finger HIT domain-containing protein 1
LOC107963966	odorant receptor 4-like
LOC107963967	serine protease inhibitor 3-like
LOC107963968	inositol polyphosphate 1-phosphatase
LOC107963969	uncharacterized LOC107963969
LOC107963970	uncharacterized LOC107963970
LOC107963971	leucine-rich repeat-containing protein 23-like
LOC107963972	uncharacterized LOC107963972
LOC107963973	pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1
LOC107963974	uncharacterized LOC107963974
LOC107963975	uncharacterized LOC107963975
LOC107963976	uncharacterized LOC107963976
LOC107963977	uncharacterized LOC107963977
LOC107963978	uncharacterized protein PFB0145c-like
LOC107963979	uncharacterized LOC107963979
LOC107963980	uncharacterized LOC107963980
LOC107963981	uncharacterized LOC107963981
LOC107963982	protein tweety
LOC107963983	pre-rRNA processing protein FTSJ3
LOC107963984	uncharacterized LOC107963984
LOC107963985	fumarylacetoacetase
LOC107963986	centrosomal protein of 162 kDa-like
LOC107963987	uncharacterized LOC107963987
LOC107963988	uncharacterized LOC107963988
LOC107963989	uncharacterized LOC107963989
LOC107963990	cat eye syndrome critical region protein 2-like
LOC107963991	probable phosphorylase b kinase regulatory subunit beta
LOC107963992	uncharacterized LOC107963992
LOC107963993	palmitoleoyl-protein carboxylesterase NOTUM-like
LOC107963994	uncharacterized LOC107963994
LOC107963995	coagulation factor X-like
LOC107963996	leucine-rich repeat-containing protein 70-like
LOC107963997	uncharacterized LOC107963997
LOC107963998	uncharacterized LOC107963998
LOC107963999	odorant receptor Or2-like
LOC107964000	uncharacterized LOC107964000
LOC107964001	uncharacterized LOC107964001
LOC107964002	carbonic anhydrase 12-like
LOC107964003	zinc finger protein 169-like
LOC107964004	uncharacterized LOC107964004
LOC107964005	uncharacterized LOC107964005
LOC107964006	uncharacterized LOC107964006
LOC107964007	uncharacterized LOC107964007
LOC107964008	uncharacterized LOC107964008
LOC107964009	uncharacterized LOC107964009
LOC107964010	uncharacterized LOC107964010
LOC107964011	uncharacterized LOC107964011
LOC107964012	nucleolar protein 58-like
LOC107964013	uncharacterized LOC107964013
LOC107964014	uncharacterized LOC107964014
LOC107964015	uncharacterized LOC107964015
LOC107964016	uncharacterized LOC107964016
LOC107964017	uncharacterized LOC107964017
LOC107964018	arginine-glutamic acid dipeptide repeats protein-like
LOC107964019	uncharacterized LOC107964019
LOC107964020	alpha-tocopherol transfer protein-like
LOC107964021	restin homolog
LOC107964022	ran-binding protein 9-like
LOC107964023	talin-2-like
LOC107964024	uncharacterized LOC107964024
LOC107964025	uncharacterized LOC107964025
LOC107964026	farnesyl diphosphate synthase 2-like
LOC107964027	uncharacterized LOC107964027
LOC107964028	uncharacterized LOC107964028
LOC107964029	uncharacterized LOC107964029
LOC107964030	uncharacterized LOC107964030
LOC107964031	uncharacterized LOC107964031
LOC107964032	uncharacterized LOC107964032
LOC107964033	uncharacterized LOC107964033
LOC107964034	uncharacterized LOC107964034
LOC107964035	uncharacterized LOC107964035
LOC107964036	uncharacterized LOC107964036
LOC107964037	uncharacterized LOC107964037
LOC107964038	uncharacterized LOC107964038
LOC107964039	uncharacterized LOC107964039
LOC107964040	uncharacterized LOC107964040
LOC107964041	uncharacterized LOC107964041
LOC107964042	uncharacterized LOC107964042
LOC107964043	uncharacterized LOC107964043
LOC107964044	uncharacterized LOC107964044
LOC107964045	uncharacterized LOC107964045
LOC107964046	uncharacterized LOC107964046
LOC107964047	uncharacterized LOC107964047
LOC107964048	uncharacterized LOC107964048
LOC107964049	uncharacterized LOC107964049
LOC107964050	uncharacterized LOC107964050
LOC107964051	uncharacterized LOC107964051
LOC107964052	uncharacterized LOC107964052
LOC107964053	uncharacterized LOC107964053
LOC107964054	uncharacterized LOC107964054
LOC107964055	uncharacterized LOC107964055
LOC107964056	uncharacterized LOC107964056
LOC107964057	uncharacterized LOC107964057
LOC107964058	uncharacterized LOC107964058
LOC107964059	uncharacterized LOC107964059
LOC107964060	uncharacterized LOC107964060
LOC107964061	cell wall integrity and stress response component 1-like
LOC107964062	uncharacterized LOC107964062
LOC107964063	uncharacterized LOC107964063
LOC107964064	inositol-pentakisphosphate 2-kinase-like
LOC107964065	uncharacterized LOC107964065
LOC107964066	uncharacterized LOC107964066
LOC107964067	uncharacterized LOC107964067
LOC107964068	uncharacterized LOC107964068
LOC107964069	uncharacterized LOC107964069
LOC107964070	uncharacterized LOC107964070
LOC107964071	uncharacterized LOC107964071
LOC107964072	uncharacterized LOC107964072
LOC107964073	uncharacterized LOC107964073
LOC107964074	uncharacterized LOC107964074
LOC107964075	uncharacterized LOC107964075
LOC107964076	uncharacterized LOC107964076
LOC107964077	chromodomain-helicase-DNA-binding protein 1-like
LOC107964078	uncharacterized LOC107964078
LOC107964079	uncharacterized LOC107964079
LOC107964080	uncharacterized LOC107964080
LOC107964081	uncharacterized LOC107964081
LOC107964082	uncharacterized LOC107964082
LOC107964083	uncharacterized LOC107964083
LOC107964084	uncharacterized LOC107964084
LOC107964085	uncharacterized LOC107964085
LOC107964086	uncharacterized LOC107964086
LOC107964087	uncharacterized LOC107964087
LOC107964088	uncharacterized LOC107964088
LOC107964089	aquaporin-11
LOC107964090	uncharacterized LOC107964090
LOC107964091	uncharacterized LOC107964091
LOC107964092	uncharacterized LOC107964092
LOC107964093	uncharacterized LOC107964093
LOC107964094	uncharacterized LOC107964094
LOC107964095	uncharacterized LOC107964095
LOC107964096	uncharacterized LOC107964096
LOC107964097	uncharacterized LOC107964097
LOC107964098	uncharacterized LOC107964098
LOC107964099	uncharacterized LOC107964099
LOC107964100	uncharacterized LOC107964100
LOC107964101	uncharacterized LOC107964101
LOC107964102	uncharacterized LOC107964102
LOC107964103	uncharacterized LOC107964103
LOC107964104	uncharacterized LOC107964104
LOC107964105	uncharacterized LOC107964105
LOC107964106	uncharacterized LOC107964106
LOC107964107	uncharacterized LOC107964107
LOC107964108	uncharacterized LOC107964108
LOC107964114	uncharacterized LOC107964114
LOC107964125	uncharacterized LOC107964125
LOC107964130	uncharacterized LOC107964130
LOC107964131	uncharacterized LOC107964131
LOC107964132	spindle pole body component 110
LOC107964133	uncharacterized LOC107964133
LOC107964134	mitotic-spindle organizing protein 2-like
LOC107964135	uncharacterized LOC107964135
LOC107964136	uncharacterized LOC107964136
LOC107964137	uncharacterized LOC107964137
LOC107964138	uncharacterized LOC107964138
LOC107964139	uncharacterized LOC107964139
LOC107964140	uncharacterized LOC107964140
LOC107964141	uncharacterized LOC107964141
LOC107964142	uncharacterized LOC107964142
LOC107964143	uncharacterized LOC107964143
LOC107964144	uncharacterized LOC107964144
LOC107964145	uncharacterized LOC107964145
LOC107964146	uncharacterized LOC107964146
LOC107964147	uncharacterized LOC107964147
LOC107964148	uncharacterized LOC107964148
LOC107964149	uncharacterized LOC107964149
LOC107964150	uncharacterized LOC107964150
LOC107964151	uncharacterized LOC107964151
LOC107964152	uncharacterized LOC107964152
LOC107964153	uncharacterized LOC107964153
LOC107964154	uncharacterized LOC107964154
LOC107964155	uncharacterized LOC107964155
LOC107964156	uncharacterized LOC107964156
LOC107964157	uncharacterized LOC107964157
LOC107964158	uncharacterized LOC107964158
LOC107964159	uncharacterized LOC107964159
LOC107964160	uncharacterized LOC107964160
LOC107964161	uncharacterized LOC107964161
LOC107964162	uncharacterized LOC107964162
LOC107964163	uncharacterized LOC107964163
LOC107964164	uncharacterized LOC107964164
LOC107964165	uncharacterized LOC107964165
LOC107964166	uncharacterized LOC107964166
LOC107964167	uncharacterized LOC107964167
LOC107964168	uncharacterized LOC107964168
LOC107964169	uncharacterized LOC107964169
LOC107964170	uncharacterized LOC107964170
LOC107964171	uncharacterized LOC107964171
LOC107964172	uncharacterized LOC107964172
LOC107964173	uncharacterized LOC107964173
LOC107964174	uncharacterized LOC107964174
LOC107964175	uncharacterized LOC107964175
LOC107964176	uncharacterized LOC107964176
LOC107964177	uncharacterized LOC107964177
LOC107964178	uncharacterized LOC107964178
LOC107964179	uncharacterized LOC107964179
LOC107964180	uncharacterized LOC107964180
LOC107964181	uncharacterized LOC107964181
LOC107964182	uncharacterized LOC107964182
LOC107964183	uncharacterized LOC107964183
LOC107964184	uncharacterized LOC107964184
LOC107964185	uncharacterized LOC107964185
LOC107964186	uncharacterized LOC107964186
LOC107964187	uncharacterized LOC107964187
LOC107964188	uncharacterized LOC107964188
LOC107964189	uncharacterized LOC107964189
LOC107964190	uncharacterized LOC107964190
LOC107964191	uncharacterized LOC107964191
LOC107964192	uncharacterized LOC107964192
LOC107964193	uncharacterized LOC107964193
LOC107964194	uncharacterized LOC107964194
LOC107964195	uncharacterized LOC107964195
LOC107964196	uncharacterized LOC107964196
LOC107964197	uncharacterized LOC107964197
LOC107964198	uncharacterized LOC107964198
LOC107964199	uncharacterized LOC107964199
LOC107964200	uncharacterized LOC107964200
LOC107964201	uncharacterized LOC107964201
LOC107964202	uncharacterized LOC107964202
LOC107964203	uncharacterized LOC107964203
LOC107964204	uncharacterized LOC107964204
LOC107964205	cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2
LOC107964206	zinc finger protein 717-like
LOC107964207	uncharacterized LOC107964207
LOC107964208	uncharacterized LOC107964208
LOC107964209	uncharacterized LOC107964209
LOC107964210	uncharacterized LOC107964210
LOC107964211	uncharacterized LOC107964211
LOC107964212	uncharacterized LOC107964212
LOC107964213	"phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform"
LOC107964214	uncharacterized LOC107964214
LOC107964215	uncharacterized LOC107964215
LOC107964216	uncharacterized LOC107964216
LOC107964217	uncharacterized LOC107964217
LOC107964218	uncharacterized LOC107964218
LOC107964219	uncharacterized LOC107964219
LOC107964220	uncharacterized LOC107964220
LOC107964221	uncharacterized LOC107964221
LOC107964222	uncharacterized LOC107964222
LOC107964223	uncharacterized LOC107964223
LOC107964224	uncharacterized LOC107964224
LOC107964225	uncharacterized LOC107964225
LOC107964226	uncharacterized LOC107964226
LOC107964227	uncharacterized LOC107964227
LOC107964228	uncharacterized LOC107964228
LOC107964229	uncharacterized LOC107964229
LOC107964230	uncharacterized LOC107964230
LOC107964231	uncharacterized LOC107964231
LOC107964232	uncharacterized LOC107964232
LOC107964233	uncharacterized LOC107964233
LOC107964234	uncharacterized LOC107964234
LOC107964235	uncharacterized LOC107964235
LOC107964236	SPX and EXS domain-containing protein 4-like
LOC107964237	uncharacterized LOC107964237
LOC107964238	uncharacterized LOC107964238
LOC107964253	uncharacterized LOC107964253
LOC107964254	uncharacterized LOC107964254
LOC107964255	uncharacterized LOC107964255
LOC107964256	uncharacterized LOC107964256
LOC107964257	uncharacterized LOC107964257
LOC107964258	spermatogenesis-associated protein 17-like
LOC107964259	uncharacterized LOC107964259
LOC107964260	late cornified envelope-like proline-rich protein 1
LOC107964261	uncharacterized LOC107964261
LOC107964262	uncharacterized LOC107964262
LOC107964263	uncharacterized LOC107964263
LOC107964264	uncharacterized LOC107964264
LOC107964265	uncharacterized LOC107964265
LOC107964266	uncharacterized LOC107964266
LOC107964267	uncharacterized LOC107964267
LOC107964268	uncharacterized LOC107964268
LOC107964269	uncharacterized LOC107964269
LOC107964270	uncharacterized LOC107964270
LOC107964271	uncharacterized LOC107964271
LOC107964272	uncharacterized LOC107964272
LOC107964273	uncharacterized LOC107964273
LOC107964274	uncharacterized LOC107964274
LOC107964275	uncharacterized LOC107964275
LOC107964276	uncharacterized LOC107964276
LOC107964277	uncharacterized LOC107964277
LOC107964278	uncharacterized LOC107964278
LOC107964279	uncharacterized LOC107964279
LOC107964280	uncharacterized LOC107964280
LOC107964281	uncharacterized LOC107964281
LOC107964282	uncharacterized LOC107964282
LOC107964283	uncharacterized LOC107964283
LOC107964284	uncharacterized LOC107964284
LOC107964285	uncharacterized LOC107964285
LOC107964286	uncharacterized LOC107964286
LOC107964287	uncharacterized LOC107964287
LOC107964288	uncharacterized LOC107964288
LOC107964289	uncharacterized LOC107964289
LOC107964290	zinc finger protein 93-like
LOC107964291	uncharacterized LOC107964291
LOC107964292	uncharacterized LOC107964292
LOC107964293	zinc finger protein 628-like
LOC107964294	uncharacterized LOC107964294
LOC107964295	uncharacterized LOC107964295
LOC107964296	uncharacterized LOC107964296
LOC107964297	uncharacterized LOC107964297
LOC107964298	uncharacterized LOC107964298
LOC107964299	uncharacterized LOC107964299
LOC107964300	uncharacterized LOC107964300
LOC107964301	uncharacterized LOC107964301
LOC107964302	uncharacterized LOC107964302
LOC107964303	uncharacterized LOC107964303
LOC107964304	uncharacterized LOC107964304
LOC107964305	uncharacterized LOC107964305
LOC107964306	uncharacterized LOC107964306
LOC107964307	uncharacterized LOC107964307
LOC107964308	uncharacterized LOC107964308
LOC107964309	uncharacterized LOC107964309
LOC107964310	uncharacterized LOC107964310
LOC107964311	uncharacterized LOC107964311
LOC107964312	uncharacterized LOC107964312
LOC107964313	uncharacterized LOC107964313
LOC107964314	uncharacterized LOC107964314
LOC107964315	uncharacterized LOC107964315
LOC107964316	uncharacterized LOC107964316
LOC107964317	uncharacterized LOC107964317
LOC107964318	uncharacterized LOC107964318
LOC107964319	calmodulin-lysine N-methyltransferase
LOC107964320	uncharacterized LOC107964320
LOC107964321	uncharacterized LOC107964321
LOC107964322	uncharacterized LOC107964322
LOC107964323	uncharacterized LOC107964323
LOC107964324	uncharacterized LOC107964324
LOC107964325	uncharacterized LOC107964325
LOC107964326	uncharacterized LOC107964326
LOC107964327	uncharacterized LOC107964327
LOC107964328	growth/differentiation factor 6-like
LOC107964329	uncharacterized LOC107964329
LOC107964330	uncharacterized LOC107964330
LOC107964331	uncharacterized LOC107964331
LOC107964332	uncharacterized LOC107964332
LOC107964333	uncharacterized LOC107964333
LOC107964334	uncharacterized LOC107964334
LOC107964335	melatonin receptor type 1B-B-like
LOC107964336	uncharacterized LOC107964336
